fecha,producto,codigo_producto,kg-fruta,kg-mermelada,agua,E-electrica,combustible,azucar,cant-conserv,devol,precio,ingreso,costo,utilidad,N-dulc,area
5/2/2012 15:56,Mermelada de Papaya Lata 3.2kg,P32,8394.849343,5899.714318,2.418383244,120.3382099,114.2541955,4028.278186,594.1873609,46,18.45,10114.05681,1021.782359,10068.4775,4,21000
4/21/2016 18:41,Mermelada de Guayaba Lata 3.2kg,G32,2987.830552,3244.635687,1.093655339,385.5189873,65.55260151,1954.357174,433.5469844,8,19.5,8298.166195,180.416295,6032.987521,5,21000
7/24/2020 16:44,Mermelada de Papaya Lata 3.2kg,P32,924.5165911,1067.128567,7.36403412,119.2564935,54.43544946,640.2645969,359.444475,8,18.45,6484.150564,158.2686348,5262.253422,4,21000
1/15/2010 22:44,Mermelada de Guayaba Lata 3.2kg,G32,2038.1238,2089.48191,6.668539393,219.5040713,68.92840322,573.3403979,521.1670653,13,19.5,9909.257774,150.5307518,7866.385626,5,21000
6/6/2019 8:09,Mermelada de Guayaba Lata 3.2kg,G32,1049.965138,1325.82444,7.963602721,151.5888321,79.27692929,703.7513002,653.5326966,5,19.5,12646.38758,276.9202414,9179.856338,5,21000
3/8/2019 10:44,Mermelada de Guayaba Lata 3.2kg,G32,3379.987777,3604.045399,1.279704603,212.0067678,65.0412738,1345.971768,720.5242597,82,19.5,12451.22306,778.9713293,11005.99054,3,21000
3/22/2010 22:40,Mermelada de Guayaba Lata 3.2kg,G32,6054.785239,4970.865848,,222.3951888,166.4612961,4196.90744,980.53009,179,19.5,15629.83676,1135.630406,13942.72442,3,21000
8/23/2015 2:46,Mermelada de Papaya Lata 3.2kg,P32,1168.720956,2047.385878,,119.2448505,57.39892742,689.6953931,418.6055175,30,18.45,7169.771798,689.8092631,7406.142553,4,21000
3/21/2010 17:54,Mermelada de Papaya Lata 3.2kg,P32,1839.142115,2221.970858,,118.9336442,74.80476305,1027.08728,498.5652575,60,18.45,8091.529001,665.1299931,10254.70512,4,21000
8/10/2019 18:43,Mermelada de Guayaba Lata 3.2kg,G32,2945.495686,3234.406817,,483.3101326,74.90049104,860.047332,511.7868544,8,19.5,9823.84366,216.6093405,7127.206,3,21000
11/27/2013 8:26,Mermelada de Guayaba Lata 3.2kg,G32,3565.102587,2643.628813,,251.3620816,99.20951397,2343.298728,614.4717478,14,19.5,11709.19908,244.0283771,8627.836739,3,21000
6/20/2017 0:50,Mermelada de Guayaba Lata 3.2kg,G32,2490.719312,1760.02869,,447.3354809,141.3472241,1901.497611,819.9627863,47,19.5,15072.77433,900.1352357,12581.1546,4,21000
10/24/2021 3:32,Mermelada de Guayaba Lata 3.2kg,G32,1181.228512,1610.816547,0.707622476,282.7459263,111.4240451,274.9928077,680.3546381,111,19.5,11102.41544,668.713686,10920.93879,3,21000
5/24/2017 4:15,Mermelada de Guayaba Lata 3.2kg,G32,1774.839935,1490.073435,3.856142045,135.0785143,60.79746274,814.5647117,261.1473293,5,19.5,4994.872922,118.8988036,3522.986855,3,21000
10/6/2019 10:54,Mermelada de Papaya Lata 3.2kg,P32,576.4880392,922.336201,3.281049901,118.9058702,95.04716243,301.9003995,447.8487631,11,18.45,8059.85968,167.3642694,6842.177248,3,21000
6/7/2008 3:56,Mermelada de Papaya Lata 3.2kg,P32,1767.364071,2426.886276,3.673165067,118.2925817,44.95101142,1104.103428,335.5698975,4,18.45,6117.464609,110.1266892,5351.781128,4,21000
